Make,Model,Year,Price,Mileage,Body Type,Location,Anomaly_Score,Is_Anomaly
toyota,camry,2016,47819,156500,Sedan,Dubai,0.20513080257800803,False
kia,sorento,2013,61250,169543,SUV,Abu Dhabi,0.2061623436386123,False
mini,cooper,2023,31861,221583,Soft Top Convertible,Dubai,0.15830621570141057,False
nissan,altima,2016,110322,69754,Sedan,Dubai,0.1971050184414389,False
toyota,land-cruiser-76-series,2020,139994,71399,Pick Up Truck,Dubai,0.1763298920996202,False
chevrolet,silverado,2010,43194,233934,Pick Up Truck,Dubai,0.17007871825029702,False
chevrolet,camaro,2024,94100,147140,Coupe,Dubai,0.1463351210656118,False
cadillac,srx,2024,30047,51876,SUV,Abu Dhabi,0.1481114495078426,False
mercedes-benz,g-class,2009,603574,32956,SUV,Dubai,0.09928119446786587,False
infiniti,q50,2013,49531,11954,Sedan,Dubai,0.1598904449136624,False
toyota,land-cruiser,2008,470284,143940,SUV,Dubai,0.13977398812208225,False
mercedes-benz,amg-gt-4-doors,2019,479068,291481,Sedan,Dubai,0.10327204162208836,False
mazda,6,2008,38078,269628,Sedan,Dubai,0.1607602716600292,False
nissan,x-trail,2020,85012,28571,SUV,Dubai,0.1609045814968143,False
mercedes-benz,cls-class,2012,57357,280953,Sedan,Dubai,0.14384645513626837,False
nissan,patrol,2006,360078,269976,SUV,Dubai,0.11242356602197201,False
nissan,x-trail,2006,49302,121173,Crossover,Dubai,0.16246733323526535,False
toyota,yaris,2009,32656,254828,Hatchback,Dubai,0.16875506164651455,False
jeep,grand-cherokee,2021,36447,247240,SUV,Sharjah,0.15124455068172116,False
kia,optima,2014,29408,138591,Sedan,Dubai,0.18839909252016251,False
ferrari,599,2024,4197282,220775,Coupe,Dubai,-0.10605156544020444,True
bmw,x6,2021,342897,292448,SUV,Dubai,0.10244039662999305,False
porsche,cayenne,2024,380035,193415,SUV,Dubai,0.00848438064733903,False
bentley,continental-gt,2008,208965,229097,Coupe,Dubai,-0.018652395722163484,True
land-rover,range-rover,2024,222044,33480,SUV,Dubai,0.10450454245980945,False
nissan,sunny,2008,28063,294765,Sedan,Dubai,0.12261994753050631,False
mercedes-benz,gl-class,2018,120721,220931,SUV,Dubai,0.18361488891081967,False
nissan,altima,2009,58468,194346,Sedan,Sharjah,0.19516276814431055,False
toyota,land-cruiser,2011,331226,198407,SUV,Dubai,0.17366291093365765,False
chevrolet,corvette,2015,162913,215495,Hard Top Convertible,Dubai,0.18254928878519855,False
porsche,panamera,2018,292855,39608,Sedan,Dubai,0.049576329652768036,False
mercedes-benz,g-class,2011,494348,140824,SUV,Dubai,0.1559220376676242,False
mercedes-benz,s-class,2018,436570,199886,Sedan,Dubai,0.155188476310876,False
kia,sorento,2018,12803,287736,Sedan,Dubai,0.1567481404038274,False
honda,accord,2022,134183,270532,Sedan,Dubai,0.14067184192148846,False
dodge,charger,2022,31252,276604,Sedan,Abu Dhabi,0.12906158972204151,False
rolls-royce,phantom,2006,442922,107637,Sedan,Dubai,-0.03412688761330296,True
mercedes-benz,cla,2008,85739,21929,Sedan,Dubai,0.1492190664812717,False
nissan,altima,2022,35378,106108,Sedan,Sharjah,0.1717686462638761,False
ford,edge,2018,183374,265019,SUV,Dubai,0.1812460563515494,False
nissan,patrol,2017,139466,152744,SUV,Dubai,0.21233324911211027,False
bmw,6-series,2015,50460,146659,Sedan,Dubai,0.2176911453877412,False
hyundai,kona,2020,49724,112352,SUV,Dubai,0.18211580519003956,False
mercedes-benz,s-class,2006,49519,241390,Sedan,Dubai,0.13918622577934503,False
lamborghini,urus,2021,1568997,28162,Crossover,Dubai,-0.028266897046060002,True
porsche,cayenne,2019,74335,278497,SUV,Abu Dhabi,0.03285012273792276,False
mitsubishi,pajero,2013,40762,10587,SUV,Dubai,0.16855701998404593,False
dodge,challenger,2023,130555,69833,Coupe,Dubai,0.15649549891183812,False
mercedes-benz,c-class,2014,120941,184492,Sedan,Sharjah,0.2065989717842362,False
porsche,cayenne,2014,68719,253848,SUV,Dubai,0.03972436085894848,False
chevrolet,silverado,2009,159025,173619,Pick Up Truck,Dubai,0.17889450102314486,False
porsche,cayenne,2008,1055578,169934,SUV,Dubai,0.025994915542376318,False
mini,cooper,2011,85706,225344,Coupe,Dubai,0.19088137440628505,False
mercedes-benz,g-class,2007,1164907,168941,SUV,Dubai,0.05762888549771761,False
nissan,patrol,2011,129092,272655,SUV,Sharjah,0.17749486157161265,False
aston-martin,rapide,2011,302938,264405,Sedan,Dubai,-0.012461653132444295,True
ford,f-series-pickup,2010,289114,70881,Pick Up Truck,Dubai,0.17477045311121225,False
gmc,yukon,2013,303404,81085,SUV,Dubai,0.1798531388219899,False
chevrolet,corvette,2018,448226,140105,Coupe,Abu Dhabi,0.16343813476933872,False
renault,duster,2021,39249,232139,SUV,Abu Dhabi,0.17996905232839772,False
volkswagen,tiguan,2012,26449,90347,SUV,Dubai,0.1999690642979433,False
chevrolet,camaro,2008,101280,296942,Coupe,Dubai,0.14298039721226596,False
kia,sportage,2009,27993,128406,SUV,Sharjah,0.18664989699362294,False
porsche,cayenne,2023,26689,144687,SUV,Dubai,0.014572902951458189,False
lexus,lx-series,2023,22063,117781,SUV,Dubai,0.1455416873012127,False
toyota,hilux,2008,92960,197399,Pick Up Truck,Dubai,0.18780043996892132,False
nissan,altima,2014,50305,245288,Other,Dubai,0.194923274434594,False
